sample_time_sec,fps,memory_static_mb,node_count,object_count,creature_count,grass_count,grass_spread_per_sec,grass_neighbor_checks_per_sec,grass_spawned_per_sec,grazing_searches_per_sec,grazing_candidate_checks_per_sec,grazing_footprint_queries_per_sec,creature_physics_ticks_per_sec,predator_prey_searches_per_sec,predator_prey_candidates_per_sec,path_calls_per_sec,path_expanded_tiles_per_sec,path_success_per_sec,path_failed_per_sec,path_capped_per_sec,grazing_candidate_unreachable_per_sec
162.22,1349.0,107.56,7368,9330,59,1700,0,0,0,25,4233,1825,2330,0,0,34,195,20,4,0,10
163.22,1044.0,107.59,7373,9335,59,1700,3,12,0,33,5577,2817,3655,0,0,49,2521,22,13,7,24
164.22,1249.0,108.41,7666,9628,59,1772,63,252,72,44,7436,3672,3540,0,0,48,1071,37,5,3,9
165.22,1323.0,108.45,7679,9645,60,1772,0,0,0,47,7943,3754,3574,0,0,69,1379,33,22,3,32
166.22,1281.0,108.51,7691,9673,64,1772,0,0,0,44,7436,3419,3669,0,0,67,832,30,25,2,34
167.22,1394.0,109.07,7900,9882,64,1823,49,196,51,33,5577,2569,3840,0,0,37,93,23,7,0,13
168.25,1394.0,109.15,7924,9918,67,1823,3,12,0,30,5072,2487,3888,0,0,54,2500,24,21,8,28
169.25,1166.0,109.19,7929,9923,67,1823,3,12,0,51,8619,3848,4087,0,0,62,367,42,9,0,17
170.25,1090.0,110.03,8225,10223,68,1895,66,264,72,29,4901,2250,4040,0,0,48,1186,17,19,3,26
171.25,1214.0,110.08,8242,10244,69,1896,3,12,1,43,7267,3442,4095,0,0,50,473,36,3,1,12
172.25,1079.0,110.07,8244,10242,68,1896,1,4,0,45,7605,3385,4116,0,0,59,1978,31,17,6,26
173.25,1124.0,110.68,8462,10472,71,1947,48,192,51,40,6760,2980,4181,0,0,82,1855,28,31,5,48
174.25,819.0,110.80,8494,10522,74,1949,7,28,2,57,9633,4109,4313,0,0,84,1752,44,22,5,34
175.25,1228.0,110.80,8501,10519,73,1949,1,4,0,40,6760,2792,4407,0,0,53,273,30,14,0,16
176.25,1225.0,111.59,8798,10820,73,2022,67,268,73,18,3042,1375,4380,0,0,20,641,11,2,2,6
177.25,1060.0,111.69,8809,10847,75,2022,0,0,0,29,4901,2219,4330,0,0,27,1002,23,3,3,4
178.25,1135.0,111.71,8815,10849,77,2022,1,4,0,44,7436,3491,4682,0,0,55,162,38,6,0,16
179.25,1308.0,111.72,8818,10856,78,2022,0,0,0,27,4563,2057,4671,0,0,33,240,20,6,0,11
180.25,1119.0,111.75,8826,10868,79,2022,0,0,0,35,5915,2389,4692,0,0,40,171,27,9,0,12
181.25,1272.0,111.79,8838,10884,80,2023,2,8,1,30,5070,2527,4787,0,0,50,522,21,21,1,24
182.25,1284.0,112.34,9046,11092,80,2075,48,192,52,32,5408,2415,4844,0,0,37,147,27,6,0,9
183.25,1298.0,112.41,9073,11119,80,2078,5,20,3,34,5746,2335,4800,0,0,56,205,22,24,0,32
184.25,1295.0,112.41,9073,11119,80,2078,1,4,0,33,5577,2020,4800,0,0,44,279,22,16,0,21
185.25,1264.0,112.46,9089,11143,82,2078,0,0,0,37,6253,2639,4874,0,0,55,500,29,18,1,24
186.26,1207.0,113.61,9413,11475,84,2155,73,292,77,30,5065,2336,4997,0,0,33,403,24,6,1,8
187.26,1290.0,113.65,9426,11492,85,2155,2,8,0,26,4394,2137,5054,0,0,27,301,16,5,0,10
188.26,1099.0,113.71,9449,11519,86,2155,0,0,0,43,7267,2861,5110,0,0,65,1943,37,20,5,27
189.26,1246.0,113.72,9454,11524,86,2155,2,8,0,35,5915,2516,5160,0,0,42,778,25,8,2,13
190.26,1211.0,113.78,9475,11549,87,2157,1,4,2,30,5060,2112,5163,0,0,40,449,24,9,1,13
191.26,1039.0,114.41,9706,11792,90,2210,48,192,53,41,6929,2504,5249,0,0,57,1341,35,8,4,18
192.26,1130.0,114.46,9716,11810,92,2211,4,16,1,37,6253,2635,5486,0,0,50,1088,26,15,3,22
193.26,1168.0,114.59,9734,11840,95,2212,2,8,1,40,6760,2891,5589,0,0,57,807,29,22,2,26
194.26,1114.0,114.60,9739,11845,95,2212,0,0,0,31,5239,2190,5700,0,0,41,788,24,8,2,15
195.28,1016.0,115.44,10057,12171,97,2290,70,279,77,38,6468,2522,5648,0,0,58,2082,31,21,6,26
196.28,1084.0,115.50,10080,12198,98,2290,0,0,0,56,9464,3583,5969,0,0,83,1000,47,22,2,32
197.28,1053.0,115.53,10086,12212,100,2290,1,4,0,42,7098,2846,5932,0,0,68,1072,30,19,3,30
198.37,1207.0,115.57,10097,12231,102,2290,1,4,0,35,5870,2184,6034,0,0,48,2374,28,9,7,16
199.37,767.0,115.71,10121,12263,104,2292,5,20,2,39,6591,2438,6301,0,0,63,1760,31,23,5,30
200.37,1101.0,116.44,10369,12515,105,2347,48,192,55,45,7605,3006,6246,0,0,53,791,38,6,2,13
201.37,1094.0,116.60,10407,12565,108,2348,2,8,1,45,7590,2747,6348,0,0,79,584,36,24,1,38
202.42,1139.0,116.59,10404,12558,107,2348,0,0,0,33,5660,2135,6150,0,0,53,866,26,17,2,22
203.42,930.0,117.57,10748,12906,108,2427,70,279,79,46,7735,2928,6553,0,0,69,1165,37,23,3,29
204.42,760.0,117.62,10758,12927,110,2428,1,4,1,53,8957,3555,6760,0,0,90,1473,38,28,4,41
205.43,860.0,117.67,10767,12951,113,2428,1,4,0,47,7888,2883,6572,0,0,88,2775,27,53,8,58
206.43,867.0,117.70,10778,12964,115,2428,2,8,0,50,8442,2983,6904,0,0,94,1770,35,43,4,52
207.43,827.0,117.74,10791,12981,116,2428,0,0,0,56,9464,3510,6955,0,0,97,1350,38,36,3,48
208.43,929.0,117.77,10799,12993,117,2428,1,4,0,53,8957,3272,6988,0,0,77,2955,41,27,9,32
209.43,1086.0,118.37,11023,13221,118,2482,47,188,54,43,7267,2739,6689,0,0,59,3132,31,23,10,24
210.43,729.0,118.43,11045,13249,119,2483,2,8,1,49,8281,3071,7099,0,0,73,2648,38,26,8,31
211.43,715.0,118.46,11051,13257,120,2485,2,8,2,50,8450,2923,7162,0,0,69,2899,39,18,9,23
212.44,711.0,119.44,11400,13614,122,2562,71,284,76,45,7659,2938,7182,0,0,81,2076,33,39,6,43
213.44,697.0,119.55,11440,13662,124,2563,2,8,1,64,10816,3589,7498,0,0,109,3420,45,48,10,57
214.44,805.0,119.71,11467,13705,128,2563,0,0,0,53,8957,3295,7579,0,0,77,1160,37,28,3,35
215.45,961.0,119.73,11469,13711,129,2564,1,4,1,56,9455,3455,7720,0,0,76,451,44,24,0,30
216.45,859.0,119.74,11473,13715,129,2565,4,16,1,53,8957,2951,7740,0,0,97,1078,38,45,2,54
217.45,1039.0,119.80,11494,13744,131,2565,0,0,0,54,9126,2928,7775,0,0,97,873,34,48,2,55
218.45,845.0,120.49,11746,14008,134,2622,49,196,57,63,10647,3749,7994,0,0,125,4573,49,58,14,71
219.45,796.0,120.57,11773,14043,136,2626,3,12,4,54,9126,3162,8106,0,0,65,1431,41,13,4,14
220.45,962.0,120.72,11810,14080,136,2629,3,12,3,58,9802,2952,8160,0,0,98,1291,39,42,3,51
221.45,1023.0,121.54,12125,14399,137,2702,68,272,73,49,8273,2686,8292,0,0,77,2025,35,28,5,36
222.45,700.0,121.60,12149,14426,137,2703,4,16,1,63,10647,3724,8083,0,0,115,3113,43,56,9,65
223.45,857.0,121.60,12149,14424,137,2703,0,0,0,55,9295,3139,8243,0,0,85,1483,38,29,4,40
224.45,953.0,121.70,12181,14463,139,2707,4,16,4,58,9753,3121,8203,0,0,83,1464,42,31,4,35
225.46,818.0,121.87,12206,14508,144,2707,2,8,0,59,9912,3077,8633,0,0,110,2232,45,54,6,59
226.46,919.0,121.99,12240,14554,147,2707,0,0,0,69,11661,3796,8684,0,0,124,2868,47,61,8,71
227.46,853.0,122.72,12507,14837,151,2767,53,212,60,66,11143,3423,8941,0,0,122,753,46,55,1,67
228.46,859.0,122.92,12544,14898,157,2768,2,8,1,72,12168,3746,9255,0,0,160,2382,43,106,5,113
229.46,854.0,122.98,12568,14922,157,2774,6,24,6,59,9971,2965,9428,0,0,103,1597,41,52,4,53
230.46,896.0,123.80,12882,15244,159,2846,66,264,72,60,10130,3011,9436,0,0,133,1769,34,77,4,90
231.48,574.0,123.86,12903,15273,161,2846,1,4,0,76,12924,4103,9256,0,0,161,5200,48,94,16,102
232.48,803.0,123.99,12926,15300,162,2846,0,0,0,71,11999,3677,9988,0,0,119,1654,45,51,4,60
233.48,756.0,124.05,12945,15327,164,2848,4,16,2,66,11154,3114,9775,0,0,128,1994,46,71,5,72
234.48,821.0,124.10,12964,15346,164,2849,2,8,1,75,12675,3796,9840,0,0,122,2535,49,60,7,61
